"","day","raw_count","sim_count","jar_id","rep_id","treatment","site"
"307",4,12,216,5,2,"14C","14C"
"308",7,17,173,5,2,"14C","14C"
"309",10,6,93,5,2,"14C","14C"
"310",14,2,47,5,2,"14C","14C"
"311",1,45,857,5,3,"14C","14C"
"312",4,12,239,5,3,"14C","14C"
"313",7,17,215,5,3,"14C","14C"
"314",10,6,132,5,3,"14C","14C"
"315",14,2,51,5,3,"14C","14C"
"316",1,45,821,5,4,"14C","14C"
"317",4,12,321,5,4,"14C","14C"
"318",7,17,291,5,4,"14C","14C"
"319",10,6,107,5,4,"14C","14C"
"320",14,2,68,5,4,"14C","14C"
"321",1,45,849,5,5,"14C","14C"
"322",4,12,296,5,5,"14C","14C"
"323",7,17,227,5,5,"14C","14C"
"324",10,6,111,5,5,"14C","14C"
"325",14,2,63,5,5,"14C","14C"
"326",1,33,568,6,1,"14C","14C"
"327",4,20,450,6,1,"14C","14C"
"328",7,16,423,6,1,"14C","14C"
"329",10,7,178,6,1,"14C","14C"
"330",14,1,2,6,1,"14C","14C"
"331",1,33,476,6,2,"14C","14C"
"332",4,20,393,6,2,"14C","14C"
"333",7,16,251,6,2,"14C","14C"
"334",10,7,132,6,2,"14C","14C"
"335",14,1,39,6,2,"14C","14C"
"336",1,33,517,6,3,"14C","14C"
"337",4,20,416,6,3,"14C","14C"
"338",7,16,285,6,3,"14C","14C"
"339",10,7,110,6,3,"14C","14C"
"340",14,1,22,6,3,"14C","14C"
"341",1,33,396,6,4,"14C","14C"
"342",4,20,284,6,4,"14C","14C"
"343",7,16,262,6,4,"14C","14C"
"344",10,7,131,6,4,"14C","14C"
"345",14,1,11,6,4,"14C","14C"
"346",1,33,475,6,5,"14C","14C"
"347",4,20,417,6,5,"14C","14C"
"348",7,16,189,6,5,"14C","14C"
"349",10,7,124,6,5,"14C","14C"
"350",14,1,66,6,5,"14C","14C"
"351",1,38,533,7,1,"20C","20C"
"352",4,39,531,7,1,"20C","20C"
"353",7,31,508,7,1,"20C","20C"
"354",10,20,447,7,1,"20C","20C"
"355",14,17,265,7,1,"20C","20C"
"356",1,38,718,7,2,"20C","20C"
"357",4,39,629,7,2,"20C","20C"
"358",7,31,511,7,2,"20C","20C"
"359",10,20,394,7,2,"20C","20C"
"360",14,17,213,7,2,"20C","20C"
"361",1,38,803,7,3,"20C","20C"
"362",4,39,567,7,3,"20C","20C"
"363",7,31,412,7,3,"20C","20C"
"364",10,20,297,7,3,"20C","20C"
"365",14,17,268,7,3,"20C","20C"
"366",1,38,721,7,4,"20C","20C"
"367",4,39,701,7,4,"20C","20C"
"368",7,31,455,7,4,"20C","20C"
"369",10,20,362,7,4,"20C","20C"
"370",14,17,306,7,4,"20C","20C"
"371",1,38,701,7,5,"20C","20C"
"372",4,39,637,7,5,"20C","20C"
"373",7,31,400,7,5,"20C","20C"
"374",10,20,392,7,5,"20C","20C"
"375",14,17,337,7,5,"20C","20C"
"376",1,37,620,8,1,"20C","20C"
"377",4,13,290,8,1,"20C","20C"
"378",7,22,274,8,1,"20C","20C"
"379",10,13,215,8,1,"20C","20C"
"380",14,10,108,8,1,"20C","20C"
"381",1,37,693,8,2,"20C","20C"
"382",4,13,336,8,2,"20C","20C"
"383",7,22,318,8,2,"20C","20C"
"384",10,13,291,8,2,"20C","20C"
"385",14,10,245,8,2,"20C","20C"
"386",1,37,636,8,3,"20C","20C"
"387",4,13,351,8,3,"20C","20C"
"388",7,22,330,8,3,"20C","20C"
"389",10,13,238,8,3,"20C","20C"
"390",14,10,222,8,3,"20C","20C"
"391",1,37,443,8,4,"20C","20C"
"392",4,13,330,8,4,"20C","20C"
"393",7,22,322,8,4,"20C","20C"
"394",10,13,223,8,4,"20C","20C"
"395",14,10,205,8,4,"20C","20C"
"396",1,37,710,8,5,"20C","20C"
"397",4,13,301,8,5,"20C","20C"
"398",7,22,291,8,5,"20C","20C"
"399",10,13,255,8,5,"20C","20C"
"400",14,10,163,8,5,"20C","20C"
"401",1,23,387,9,1,"20C","20C"
"402",4,23,354,9,1,"20C","20C"
"403",7,11,262,9,1,"20C","20C"
"404",10,19,251,9,1,"20C","20C"
"405",14,14,182,9,1,"20C","20C"
"406",1,23,509,9,2,"20C","20C"
"407",4,23,503,9,2,"20C","20C"
"408",7,11,291,9,2,"20C","20C"
"409",10,19,279,9,2,"20C","20C"
"410",14,14,250,9,2,"20C","20C"
"411",1,23,485,9,3,"20C","20C"
"412",4,23,441,9,3,"20C","20C"
"413",7,11,263,9,3,"20C","20C"
"414",10,19,224,9,3,"20C","20C"
"415",14,14,186,9,3,"20C","20C"
"416",1,23,534,9,4,"20C","20C"
"417",4,23,413,9,4,"20C","20C"
"418",7,11,351,9,4,"20C","20C"
"419",10,19,266,9,4,"20C","20C"
"420",14,14,259,9,4,"20C","20C"
"421",1,23,402,9,5,"20C","20C"
"422",4,23,345,9,5,"20C","20C"
"423",7,11,253,9,5,"20C","20C"
"424",10,19,253,9,5,"20C","20C"
"425",14,14,188,9,5,"20C","20C"
"426",1,26,534,10,1,"20C","20C"
"427",4,20,385,10,1,"20C","20C"
"428",7,20,266,10,1,"20C","20C"
"429",10,14,240,10,1,"20C","20C"
"430",14,9,189,10,1,"20C","20C"
"431",1,26,382,10,2,"20C","20C"
"432",4,20,272,10,2,"20C","20C"
"433",7,20,262,10,2,"20C","20C"
"434",10,14,186,10,2,"20C","20C"
"435",14,9,136,10,2,"20C","20C"
"436",1,26,468,10,3,"20C","20C"
"437",4,20,323,10,3,"20C","20C"
"438",7,20,250,10,3,"20C","20C"
"439",10,14,212,10,3,"20C","20C"
"440",14,9,166,10,3,"20C","20C"
"441",1,26,374,10,4,"20C","20C"
"442",4,20,374,10,4,"20C","20C"
"443",7,20,319,10,4,"20C","20C"
"444",10,14,303,10,4,"20C","20C"
"445",14,9,142,10,4,"20C","20C"
"446",1,26,426,10,5,"20C","20C"
"447",4,20,379,10,5,"20C","20C"
"448",7,20,374,10,5,"20C","20C"
"449",10,14,208,10,5,"20C","20C"
"450",14,9,174,10,5,"20C","20C"
"451",1,33,611,11,1,"20C","20C"
"452",4,26,439,11,1,"20C","20C"
"453",7,20,307,11,1,"20C","20C"
"454",10,13,212,11,1,"20C","20C"
"455",14,9,164,11,1,"20C","20C"
"456",1,33,574,11,2,"20C","20C"
"457",4,26,436,11,2,"20C","20C"
"458",7,20,344,11,2,"20C","20C"
"459",10,13,258,11,2,"20C","20C"
"460",14,9,167,11,2,"20C","20C"
"461",1,33,471,11,3,"20C","20C"
"462",4,26,448,11,3,"20C","20C"
"463",7,20,261,11,3,"20C","20C"
"464",10,13,212,11,3,"20C","20C"
"465",14,9,186,11,3,"20C","20C"
"466",1,33,733,11,4,"20C","20C"
"467",4,26,523,11,4,"20C","20C"
"468",7,20,317,11,4,"20C","20C"
"469",10,13,245,11,4,"20C","20C"
"470",14,9,151,11,4,"20C","20C"
"471",1,33,660,11,5,"20C","20C"
"472",4,26,542,11,5,"20C","20C"
"473",7,20,528,11,5,"20C","20C"
"474",10,13,167,11,5,"20C","20C"
"475",14,9,41,11,5,"20C","20C"
"476",1,24,435,12,1,"20C","20C"
"477",4,19,294,12,1,"20C","20C"
"478",7,13,244,12,1,"20C","20C"
"479",10,9,187,12,1,"20C","20C"
"480",14,8,50,12,1,"20C","20C"
"481",1,24,414,12,2,"20C","20C"
"482",4,19,386,12,2,"20C","20C"
"483",7,13,199,12,2,"20C","20C"
"484",10,9,168,12,2,"20C","20C"
"485",14,8,150,12,2,"20C","20C"
"486",1,24,477,12,3,"20C","20C"
"487",4,19,289,12,3,"20C","20C"
"488",7,13,207,12,3,"20C","20C"
"489",10,9,178,12,3,"20C","20C"
"490",14,8,109,12,3,"20C","20C"
"491",1,24,402,12,4,"20C","20C"
"492",4,19,381,12,4,"20C","20C"
"493",7,13,242,12,4,"20C","20C"
"494",10,9,233,12,4,"20C","20C"
"495",14,8,149,12,4,"20C","20C"
"496",1,24,376,12,5,"20C","20C"
"497",4,19,350,12,5,"20C","20C"
"498",7,13,181,12,5,"20C","20C"
"499",10,9,154,12,5,"20C","20C"
"500",14,8,57,12,5,"20C","20C"
"501",1,48,651,13,1,"14C","14C"
"502",3,29,517,13,1,"14C","14C"
"503",6,17,346,13,1,"14C","14C"
"504",9,6,154,13,1,"14C","14C"
"505",11,8,137,13,1,"14C","14C"
"506",14,4,51,13,1,"14C","14C"
"507",1,48,847,13,2,"14C","14C"
"508",3,29,488,13,2,"14C","14C"
"509",6,17,299,13,2,"14C","14C"
"510",9,6,138,13,2,"14C","14C"
"511",11,8,109,13,2,"14C","14C"
"512",14,4,45,13,2,"14C","14C"
"513",1,48,948,13,3,"14C","14C"
"514",3,29,431,13,3,"14C","14C"
"515",6,17,291,13,3,"14C","14C"
"516",9,6,151,13,3,"14C","14C"
"517",11,8,102,13,3,"14C","14C"
"518",14,4,65,13,3,"14C","14C"
"519",1,48,923,13,4,"14C","14C"
"520",3,29,504,13,4,"14C","14C"
"521",6,17,278,13,4,"14C","14C"
"522",9,6,206,13,4,"14C","14C"
"523",11,8,204,13,4,"14C","14C"
"524",14,4,70,13,4,"14C","14C"
"525",1,48,741,13,5,"14C","14C"
"526",3,29,532,13,5,"14C","14C"
