day,raw_count,sim_count,jar_id,rep_id,treatment,site
5,31,675,31,114,20C,20C
7,35,555,31,114,20C,20C
10,46,527,31,114,20C,20C
12,21,286,31,114,20C,20C
14,21,245,31,114,20C,20C
1,43,711,31,115,20C,20C
3,37,597,31,115,20C,20C
5,31,531,31,115,20C,20C
7,35,494,31,115,20C,20C
10,46,459,31,115,20C,20C
12,21,349,31,115,20C,20C
14,21,322,31,115,20C,20C
1,43,677,31,116,20C,20C
3,37,597,31,116,20C,20C
5,31,594,31,116,20C,20C
7,35,567,31,116,20C,20C
10,46,538,31,116,20C,20C
12,21,487,31,116,20C,20C
14,21,308,31,116,20C,20C
1,43,822,31,117,20C,20C
3,37,726,31,117,20C,20C
5,31,643,31,117,20C,20C
7,35,637,31,117,20C,20C
10,46,599,31,117,20C,20C
12,21,427,31,117,20C,20C
14,21,346,31,117,20C,20C
1,43,708,31,118,20C,20C
3,37,708,31,118,20C,20C
5,31,589,31,118,20C,20C
7,35,578,31,118,20C,20C
10,46,549,31,118,20C,20C
12,21,427,31,118,20C,20C
14,21,384,31,118,20C,20C
1,43,793,31,119,20C,20C
3,37,733,31,119,20C,20C
5,31,638,31,119,20C,20C
7,35,623,31,119,20C,20C
10,46,600,31,119,20C,20C
12,21,321,31,119,20C,20C
14,21,293,31,119,20C,20C
1,43,845,31,120,20C,20C
3,37,845,31,120,20C,20C
5,31,729,31,120,20C,20C
7,35,634,31,120,20C,20C
10,46,601,31,120,20C,20C
12,21,325,31,120,20C,20C
14,21,301,31,120,20C,20C
1,43,751,31,121,20C,20C
3,37,737,31,121,20C,20C
5,31,556,31,121,20C,20C
7,35,504,31,121,20C,20C
10,46,475,31,121,20C,20C
12,21,349,31,121,20C,20C
14,21,314,31,121,20C,20C
1,43,877,31,122,20C,20C
3,37,754,31,122,20C,20C
5,31,748,31,122,20C,20C
7,35,604,31,122,20C,20C
10,46,585,31,122,20C,20C
12,21,343,31,122,20C,20C
14,21,332,31,122,20C,20C
1,43,677,31,123,20C,20C
3,37,642,31,123,20C,20C
5,31,623,31,123,20C,20C
7,35,573,31,123,20C,20C
10,46,557,31,123,20C,20C
12,21,325,31,123,20C,20C
14,21,321,31,123,20C,20C
1,43,829,31,124,20C,20C
3,37,733,31,124,20C,20C
5,31,717,31,124,20C,20C
7,35,693,31,124,20C,20C
10,46,665,31,124,20C,20C
12,21,490,31,124,20C,20C
