day,raw_count,sim_count,jar_id,rep_id,treatment,site
10,46,512,31,96,20C,20C
12,21,356,31,96,20C,20C
14,21,176,31,96,20C,20C
1,43,747,31,97,20C,20C
3,37,688,31,97,20C,20C
5,31,657,31,97,20C,20C
7,35,650,31,97,20C,20C
10,46,546,31,97,20C,20C
12,21,478,31,97,20C,20C
14,21,370,31,97,20C,20C
1,43,888,31,98,20C,20C
3,37,655,31,98,20C,20C
5,31,624,31,98,20C,20C
7,35,622,31,98,20C,20C
10,46,592,31,98,20C,20C
12,21,310,31,98,20C,20C
14,21,274,31,98,20C,20C
1,43,924,31,99,20C,20C
3,37,739,31,99,20C,20C
5,31,710,31,99,20C,20C
7,35,665,31,99,20C,20C
10,46,628,31,99,20C,20C
12,21,347,31,99,20C,20C
14,21,337,31,99,20C,20C
1,43,994,31,100,20C,20C
3,37,858,31,100,20C,20C
5,31,627,31,100,20C,20C
7,35,599,31,100,20C,20C
10,46,593,31,100,20C,20C
12,21,355,31,100,20C,20C
14,21,300,31,100,20C,20C
1,43,777,31,101,20C,20C
3,37,675,31,101,20C,20C
5,31,557,31,101,20C,20C
7,35,541,31,101,20C,20C
10,46,516,31,101,20C,20C
12,21,286,31,101,20C,20C
14,21,285,31,101,20C,20C
1,43,753,31,102,20C,20C
3,37,745,31,102,20C,20C
5,31,717,31,102,20C,20C
7,35,639,31,102,20C,20C
10,46,618,31,102,20C,20C
12,21,520,31,102,20C,20C
14,21,350,31,102,20C,20C
1,43,854,31,103,20C,20C
3,37,723,31,103,20C,20C
5,31,696,31,103,20C,20C
7,35,637,31,103,20C,20C
10,46,599,31,103,20C,20C
12,21,291,31,103,20C,20C
14,21,280,31,103,20C,20C
1,43,837,31,104,20C,20C
3,37,594,31,104,20C,20C
5,31,528,31,104,20C,20C
7,35,522,31,104,20C,20C
10,46,505,31,104,20C,20C
12,21,418,31,104,20C,20C
14,21,312,31,104,20C,20C
1,43,803,31,105,20C,20C
3,37,716,31,105,20C,20C
5,31,699,31,105,20C,20C
7,35,533,31,105,20C,20C
10,46,484,31,105,20C,20C
12,21,480,31,105,20C,20C
14,21,346,31,105,20C,20C
1,43,777,31,106,20C,20C
3,37,713,31,106,20C,20C
5,31,702,31,106,20C,20C
7,35,660,31,106,20C,20C
10,46,634,31,106,20C,20C
12,21,332,31,106,20C,20C
14,21,277,31,106,20C,20C
1,43,793,31,107,20C,20C
3,37,613,31,107,20C,20C
5,31,607,31,107,20C,20C
7,35,554,31,107,20C,20C
10,46,516,31,107,20C,20C
12,21,429,31,107,20C,20C
14,21,412,31,107,20C,20C
1,43,906,31,108,20C,20C
3,37,718,31,108,20C,20C
5,31,614,31,108,20C,20C
7,35,579,31,108,20C,20C
10,46,564,31,108,20C,20C
12,21,305,31,108,20C,20C
14,21,255,31,108,20C,20C
1,43,883,31,109,20C,20C
3,37,712,31,109,20C,20C
5,31,677,31,109,20C,20C
7,35,675,31,109,20C,20C
10,46,631,31,109,20C,20C
12,21,526,31,109,20C,20C
14,21,419,31,109,20C,20C
1,43,745,31,110,20C,20C
3,37,679,31,110,20C,20C
5,31,667,31,110,20C,20C
7,35,632,31,110,20C,20C
10,46,604,31,110,20C,20C
12,21,474,31,110,20C,20C
14,21,451,31,110,20C,20C
1,43,795,31,111,20C,20C
3,37,662,31,111,20C,20C
5,31,624,31,111,20C,20C
7,35,598,31,111,20C,20C
10,46,597,31,111,20C,20C
12,21,596,31,111,20C,20C
14,21,400,31,111,20C,20C
1,43,892,31,112,20C,20C
3,37,663,31,112,20C,20C
5,31,592,31,112,20C,20C
7,35,574,31,112,20C,20C
10,46,553,31,112,20C,20C
12,21,375,31,112,20C,20C
14,21,373,31,112,20C,20C
1,43,787,31,113,20C,20C
3,37,718,31,113,20C,20C
5,31,702,31,113,20C,20C
7,35,686,31,113,20C,20C
10,46,661,31,113,20C,20C
12,21,482,31,113,20C,20C
14,21,311,31,113,20C,20C
1,43,665,31,114,20C,20C
3,37,581,31,114,20C,20C
5,31,547,31,114,20C,20C
7,35,538,31,114,20C,20C
10,46,537,31,114,20C,20C
12,21,417,31,114,20C,20C
14,21,377,31,114,20C,20C
1,43,858,31,115,20C,20C
3,37,725,31,115,20C,20C
5,31,703,31,115,20C,20C
7,35,567,31,115,20C,20C
10,46,551,31,115,20C,20C
12,21,471,31,115,20C,20C
14,21,264,31,115,20C,20C
1,43,754,31,116,20C,20C
3,37,709,31,116,20C,20C
5,31,640,31,116,20C,20C
7,35,621,31,116,20C,20C
10,46,602,31,116,20C,20C
12,21,425,31,116,20C,20C
14,21,412,31,116,20C,20C
1,43,867,31,117,20C,20C
3,37,757,31,117,20C,20C
5,31,685,31,117,20C,20C
7,35,681,31,117,20C,20C
10,46,546,31,117,20C,20C
12,21,538,31,117,20C,20C
14,21,218,31,117,20C,20C
1,43,895,31,118,20C,20C
3,37,637,31,118,20C,20C
5,31,631,31,118,20C,20C
7,35,590,31,118,20C,20C
10,46,511,31,118,20C,20C
12,21,508,31,118,20C,20C
14,21,386,31,118,20C,20C
1,43,719,31,119,20C,20C
3,37,621,31,119,20C,20C
5,31,611,31,119,20C,20C
7,35,610,31,119,20C,20C
10,46,607,31,119,20C,20C
12,21,352,31,119,20C,20C
14,21,269,31,119,20C,20C
